timestamp,action,goal,time_delta,correct,voltage,current,power,cumpower
1509546426.9015794,['FrontBack'],frontback,21.85843062400818,False,1,2,3,4
1509546427.621521,['FrontBack'],frontback,22.57837224006653,False,1,2,3,4
1509546428.6536107,['Jumping'],frontback,23.610461950302124,False,1,2,3,4
1509546429.4061458,['SideStep'],frontback,24.36299705505371,False,1,2,3,4
1509546430.0129843,['SideStep'],frontback,24.96983551979065,False,1,2,3,4
1509546430.751939,['FrontBack'],frontback,25.70879030227661,False,1,2,3,4
1509546431.5118358,['FrontBack'],frontback,26.468687057495117,False,1,2,3,4
1509546432.2556186,['BusDriver'],frontback,27.212469816207886,False,1,2,3,4
1509546433.025433,['BusDriver'],frontback,27.98228430747986,False,1,2,3,4
1509546433.8050034,['SideStep'],frontback,28.761854648590088,False,1,2,3,4
1509546434.5908809,['FrontBack'],frontback,29.54773211479187,False,1,2,3,4
1509546435.3786883,['FrontBack'],frontback,30.33553957939148,False,1,2,3,4
1509546436.1615872,['FrontBack'],frontback,31.118438482284546,False,1,2,3,4
1509546436.9623652,['FrontBack'],frontback,31.91921639442444,False,1,2,3,4
1509546437.7672372,['Standing'],frontback,32.72408843040466,False,1,2,3,4
1509546438.688094,['Standing'],frontback,33.64494514465332,False,1,2,3,4
1509546439.4403968,['Standing'],frontback,34.39724802970886,False,1,2,3,4
1509546440.1898637,['Standing'],frontback,35.14671492576599,False,1,2,3,4
1509546441.0099022,['Standing'],frontback,35.9667534828186,False,1,2,3,4
1509546441.806869,['FrontBack'],frontback,36.76372027397156,False,1,2,3,4
1509546442.6161764,['Standing'],frontback,37.57302761077881,False,1,2,3,4
1509546443.424402,['Standing'],frontback,38.381253242492676,False,1,2,3,4
1509546444.2377734,['Standing'],frontback,39.19462466239929,False,1,2,3,4
1509546445.0307083,['FrontBack'],frontback,39.98755955696106,False,1,2,3,4
1509546445.8568964,['Standing'],frontback,40.81374764442444,False,1,2,3,4
1509546446.6595094,['FrontBack'],frontback,41.616360664367676,False,1,2,3,4
1509546447.4808223,['Standing'],frontback,42.437673568725586,False,1,2,3,4
1509546448.290857,['FrontBack'],frontback,43.247708320617676,False,1,2,3,4
1509546449.1022651,['FrontBack'],frontback,44.05911636352539,False,1,2,3,4
1509546449.9056778,['FrontBack'],frontback,44.862529039382935,False,1,2,3,4
1509546450.7202601,['FrontBack'],frontback,45.67711138725281,False,1,2,3,4
1509546451.531114,['FrontBack'],frontback,46.48796534538269,False,1,2,3,4
1509546452.338895,['FrontBack'],frontback,47.29574632644653,False,1,2,3,4
1509546453.1490457,['Standing'],frontback,48.105896949768066,False,1,2,3,4
1509546453.9827204,['SideStep'],frontback,48.93957161903381,False,1,2,3,4
1509546454.7894034,['SideStep'],frontback,49.746254682540894,False,1,2,3,4
1509546455.5602274,['FrontBack'],frontback,50.51707863807678,False,1,2,3,4
1509546456.4130652,['Standing'],frontback,51.3699164390564,False,1,2,3,4
1509546457.232714,['Standing'],frontback,52.18956518173218,False,1,2,3,4
1509546458.087405,['Standing'],frontback,53.04425621032715,False,1,2,3,4
1509546458.9072878,['FrontBack'],frontback,53.86413908004761,False,1,2,3,4
1509546459.785646,['Standing'],frontback,54.74249720573425,False,1,2,3,4
1509546460.4708705,['Standing'],frontback,55.42772173881531,False,1,2,3,4
1509546461.2852957,['Standing'],frontback,56.24214696884155,False,1,2,3,4
1509546462.081173,['Standing'],frontback,57.03802418708801,False,1,2,3,4
1509546462.8848388,['Standing'],frontback,57.84169006347656,False,1,2,3,4
1509546463.7040856,['Standing'],frontback,58.66093683242798,False,1,2,3,4
1509546464.5201244,['Standing'],frontback,59.47697567939758,False,1,2,3,4
1509546465.3370686,['Standing'],jumping,0.2931950092315674,False,1,2,3,4
1509546466.1438951,['FrontBack'],jumping,1.1000216007232666,False,1,2,3,4
1509546466.9390807,['Jumping'],jumping,1.895207166671753,False,1,2,3,4
1509546467.7427893,['Jumping'],jumping,2.698915719985962,False,1,2,3,4
1509546468.590105,['Jumping'],jumping,3.546231508255005,False,1,2,3,4
1509546469.3701842,['Jumping'],jumping,4.326310634613037,False,1,2,3,4
1509546470.2121234,['Jumping'],jumping,5.168249845504761,False,1,2,3,4
1509546471.0257633,['FrontBack'],jumping,5.981889724731445,False,1,2,3,4
1509546471.8157682,['FrontBack'],jumping,6.771894693374634,False,1,2,3,4
1509546472.6317673,['FrontBack'],jumping,7.587893724441528,False,1,2,3,4
1509546473.4231946,['FrontBack'],jumping,8.379321098327637,False,1,2,3,4
1509546474.239267,['FrontBack'],jumping,9.195393562316895,False,1,2,3,4
1509546475.0640848,['FrontBack'],jumping,10.020211219787598,False,1,2,3,4
1509546475.884384,['FrontBack'],jumping,10.840510368347168,False,1,2,3,4
1509546476.6879003,['FrontBack'],jumping,11.644026756286621,False,1,2,3,4
1509546477.5125554,['FrontBack'],jumping,12.468681812286377,False,1,2,3,4
1509546478.6243238,['FrontBack'],jumping,13.580450296401978,False,1,2,3,4
1509546479.2441618,['FrontBack'],jumping,14.20028829574585,False,1,2,3,4
1509546479.8935552,['SideStep'],jumping,14.849681615829468,False,1,2,3,4
1509546480.6675985,['SideStep'],jumping,15.623724937438965,False,1,2,3,4
1509546481.4180753,['SideStep'],jumping,16.374201774597168,False,1,2,3,4
1509546482.209457,['SideStep'],jumping,17.16558337211609,False,1,2,3,4
1509546482.940031,['SideStep'],jumping,17.89615750312805,False,1,2,3,4
1509546483.67624,['FrontBack'],jumping,18.6323664188385,False,1,2,3,4
1509546484.4848783,['SideStep'],jumping,19.441004753112793,False,1,2,3,4
1509546485.2147555,['FrontBack'],jumping,20.170881986618042,False,1,2,3,4
1509546485.9900553,['FrontBack'],jumping,20.946181774139404,False,1,2,3,4
1509546486.7674232,['SideStep'],jumping,21.723549604415894,False,1,2,3,4
1509546487.53732,['SideStep'],jumping,22.493446350097656,False,1,2,3,4
1509546488.2664711,['SideStep'],jumping,23.22259759902954,False,1,2,3,4
1509546489.02481,['FrontBack'],jumping,23.980936527252197,False,1,2,3,4
1509546489.8396926,['BusDriver'],jumping,24.79581904411316,False,1,2,3,4
1509546490.6222126,['SideStep'],jumping,25.578339099884033,False,1,2,3,4
1509546491.4604871,['SideStep'],jumping,26.416613578796387,False,1,2,3,4
1509546492.3002043,['SideStep'],jumping,27.256330728530884,False,1,2,3,4
1509546493.0730042,['FrontBack'],jumping,28.029130697250366,False,1,2,3,4
1509546493.9005916,['SideStep'],jumping,28.856718063354492,False,1,2,3,4
1509546494.7267992,['FrontBack'],jumping,29.682925701141357,False,1,2,3,4
1509546495.4966433,['SideStep'],jumping,30.45276975631714,False,1,2,3,4
1509546496.2894368,['Standing'],jumping,31.2455632686615,False,1,2,3,4
1509546497.0698411,['FrontBack'],jumping,32.025967597961426,False,1,2,3,4
1509546497.830461,['SideStep'],jumping,32.78658747673035,False,1,2,3,4
1509546498.6381764,['SideStep'],jumping,33.59430289268494,False,1,2,3,4
1509546499.5183353,['Standing'],jumping,34.474461793899536,False,1,2,3,4
1509546500.292799,['FrontBack'],jumping,35.24892544746399,False,1,2,3,4
1509546501.0971463,['FrontBack'],jumping,36.05327272415161,False,1,2,3,4
1509546501.738113,['SideStep'],jumping,36.694239377975464,False,1,2,3,4
1509546502.4765608,['FrontBack'],jumping,37.432687282562256,False,1,2,3,4
1509546503.2463975,['FrontBack'],jumping,38.202523946762085,False,1,2,3,4
1509546503.9748647,['SideStep'],jumping,38.93099117279053,False,1,2,3,4
1509546504.7153316,['SideStep'],jumping,39.67145800590515,False,1,2,3,4
1509546505.488601,['FrontBack'],jumping,40.444727420806885,False,1,2,3,4
1509546506.2335203,['FrontBack'],jumping,41.18964672088623,False,1,2,3,4
1509546507.0070813,['FrontBack'],jumping,41.963207721710205,False,1,2,3,4
1509546507.8140473,['SideStep'],jumping,42.77017378807068,False,1,2,3,4
1509546508.607722,['SideStep'],jumping,43.5638484954834,False,1,2,3,4
1509546509.355496,['SideStep'],jumping,44.31162238121033,False,1,2,3,4
1509546510.1531212,['SideStep'],jumping,45.10924768447876,False,1,2,3,4
1509546510.872978,['SideStep'],jumping,45.82910442352295,False,1,2,3,4
1509546511.6152203,['FrontBack'],jumping,46.57134675979614,False,1,2,3,4
1509546512.446067,['FrontBack'],jumping,47.402193546295166,False,1,2,3,4
1509546513.1877427,['SideStep'],jumping,48.143869161605835,False,1,2,3,4
1509546513.9821212,['FrontBack'],jumping,48.93824768066406,False,1,2,3,4
1509546514.7359142,['FrontBack'],jumping,49.69204068183899,False,1,2,3,4
1509546515.5048802,['SideStep'],jumping,50.46100664138794,False,1,2,3,4
1509546516.236496,['SideStep'],jumping,51.192622423172,False,1,2,3,4
1509546517.0027163,['SideStep'],jumping,51.958842754364014,False,1,2,3,4
1509546517.7774584,['SideStep'],jumping,52.73358488082886,False,1,2,3,4
1509546518.5619578,['FrontBack'],jumping,53.51808428764343,False,1,2,3,4
1509546519.3795164,['SideStep'],jumping,54.33564281463623,False,1,2,3,4
1509546520.088626,['SideStep'],jumping,55.04475235939026,False,1,2,3,4
1509546520.8732746,['SideStep'],jumping,55.82940101623535,False,1,2,3,4
1509546521.6146214,['SideStep'],jumping,56.57074785232544,False,1,2,3,4
1509546522.3604617,['SideStep'],jumping,57.316588163375854,False,1,2,3,4
1509546523.1729672,['SideStep'],jumping,58.129093647003174,False,1,2,3,4
1509546523.9237423,['SideStep'],jumping,58.87986874580383,False,1,2,3,4
1509546524.6576846,['SideStep'],jumping,59.613811016082764,False,1,2,3,4
1509546525.4501066,['FrontBack'],squatturnclap,0.3988807201385498,False,1,2,3,4
